Codigo_asignatura,Semana,Actividad
13866,5,Primer examen parcial (10%)  / mid-term exam (10%)
13866,11,Segundo examen parcial (30%)  / mid-term exam (10%)
13868,8,Entrega de ejercicios semanales / Delivery of weekly exercises
13868,9,Examen parcial / Mid-term exam
13868,10,Entrega de ejercicios semanales / Delivery of weekly exercises
13868,11,Entrega de ejercicios semanales / Delivery of weekly exercises
13868,12,Entrega de ejercicios semanales / Delivery of weekly exercises
13868,15,Entrega del proyecto final / Final Project delivery
13869,6,Laboratorio Sesión 1- Lab Session 1
13869,7,Laboratorio Sesión 2- Lab Session 2
13869,8,Examen parcial 1- Partial Exam 1
13869,9,Laboratorio Sesión 3- Lab Session 3
13869,12,Laboratorio Sesión 4- Lab Session 4
13873,SEMANA - WEEK,ACTIVIDADES DE EVALUACIÓN CONTINUA - CONTINUOUS ASSESSMENT ACTIVITIES
13873,7,"PRIMER EXAMEN PARCIAL (Temas: Tipos Abstractos de Datos (TADs), TADs LINEALES Y ANÁLISIS DE ALGORITMOS)First Mid-Term exam (Topics: Abstract Data Types (ADTs), Linear data structures, Analysis of algorithms)"
13873,9,"PRIMERA PRUEBA DE LABORATORIO SOBRE ESTRUCTURAS LINEALES Y ANÁLISIS DE ALGORITMOS. FIRST LAB TEST ABOUT LINEARDATA STRUCTURES AND ANALYSIS OF ALGORITHMS"
13873,12,"SEGUNDO EXAMEN PARCIAL (Temas: RECURSIÓN, ÁRBOLES, ANÁLISIS DE ALGORITMOS)Second Mid-Term exam (Topics: RECURSION, TREES, Analysis of algorithms)"
13873,14,"SEGUNDA PRUEBA DE LABORATORIO SOBRE ESTRUCTURAS NO LINEALES (ÁRBOLES) Y ANÁLISIS DE ALGORITMOS. SECOND LAB TESTABOUT TREES AND ANALYSIS OF ALGORITHMS"
13874,7,Entrega primera práctica. Programación en ensamblador / Delivery first practice. Assembler programming
13874,13,Entrega segunda práctica. Microprogramación/ Delivery second practice. Microprogramming.
13874,5,Miniexam 1
13874,9,Miniexam 2
13874,13,Miniexam 3
13881,2-5,"Primer trabajo práctico: Diseño Relacional y Carga Masiva (entrega en la semana 5) /First assignment: Relational Design and DB Population (due in week 5th)"
13881,6,Ejercicio de teoría / Theory test
13881,6-10,"Segundo trabajo práctico: Consultas, procedimientos, vistas, diseño externo y disparadores (entrega en la semana 10) /Second assignment: Queries, procedures, views, external design and triggering (due in week 10th)"
13881,11,Examen de Laboratorio / Laboratory test
13881,12-13,"Tercer trabajo práctico: Diseño físico y afinamiento (entrega en la semana 13) /Third assignment: Physical Design and DB Tunning (due in week 14th)"
13882,4,"Entrega Práctica 1. Tecnologías Web: HTML 5/CSSSubmission First Laboratory. Web Technologies: HTML 5/CSS"
13882,8,"Entrega Práctica 2. Tecnologías Web: JavaScriptSubmission Second Laboratory. Web Technologies: JavaScript"
13882,10,"Entrega Caso Práctico. Metodología de Diseño: PrototipadoSubmission Case Study. Design Methodology: Prototyping"
13882,14,"Entrega Caso Práctico. Diseño e Implementación de Interfaces de Usuario WebSubmission Case Study. Design and Development of Web User Interfaces"
13884,2,"Test de concepto corto (tc1), capítulos 1 & 2.  Short concept test (tc1), chapters 1 & 2"
13884,3,"Prueba de conocimiento (PC1), capítulos 1 & 2. Knowledge test (PC1), chapters 1 & 2"
13884,5,"Test de concepto corto (tc2), capítulo 3.  Short concept test (tc2), covering chapter 3"
13884,6,"Prueba de conocimiento (PC2), capítulo 3.  Knowledge test (PC2), covering chapter 3"
13884,10,"Test de concepto corto (tc3), capítulo 4.  Short concept test (tc3), covering chapter 4"
13884,11,"Prueba de conocimiento (PC3), capítulo 3.  Knowledge test (PC3), covering chapter 4"
13884,13,"Test de concepto corto (tc4), capítulo 5.  Short concept test (tc4), covering chapter 5"
13884,15,"Prueba de conocimiento (PC4), capítulo 3.  Knowledge test (PC4), covering chapter 5"
13888,"3: 18/9/2023 –22/9/2023","Lab: Rendimiento y EnergíaLab: Performance and Energy"
13888,"5: 2/10/2023  -6/10/2023","Lab: Memoria CachéLab: Cache Memory"
13888,"6: 9/10/2023 –13/10/2023","Examen parcial 1Partial exam 1"
13888,"9: 30/10/203  -3/11/2023","Entrega de proyectoProject delivery"
13888,"10: 6/11/2023 -10/11/2023",Lab: OpenMP
13888,"11: 13/11/2023 –17/11/2023","Examen parcial 2Partial Exam 2"
13888,"12: 20/11/203 –24/11/2023","Lab: Consistencia de memoriaLab: Memory consistency"
13892,4,Entregable 1: Tema 3 oferta y coste
13892,5,"Entregable 2: Tema 6 Gestión de la configuración del software, Tema 7 Gestión de Calidad"
13892,6,Entregable 3: Tema 4 Estudio de viabilidad y requisitos
13892,8,"Entregable 4: Tema 5 casos de uso de alto nivel y priorización de los mismosEntregable 5: Tema 8 estimación"
13892,10,Entregable 6: Tema 9 planificación
13892,14,"Entregable 7: Tema 10 análisis y Tema 11 Diseño (iteración 1)Entregable 8: Tema 10 análisis y Tema 11 Diseño (iteración 2) y actualización de la ejecución de los planes de Gestión de laconfiguración y Gestión de la calidad"
15754,7,Entrega de ejercicio 1
15754,10,Entrega de ejercicio 2
15754,12,Entrega de ejercicio 3
15754,14,Entrega de ejercicio 4 y proyecto final
15970,6,"Validación I. Examen de evaluación continua.Validation I. Midterm I."
15970,14,"Validación II. Examen de evaluación continua.Validation II. Midterm II."
15971,8,Primer control / First mid-term exam
15971,13,Segundo control / Second mid-term exam
15973,8,Prueba de evaluación continua/ Continuous assessment
15973,9,Prueba de evaluación continua/ Continuous assessment
15973,12-13,Prueba de evaluación continua/ Continuous assessment
15973,14-15,Prueba de evaluación continua/ Continuous assessment
15974,"3, 4, 6, 7, 8, 9, 11,12, 13","Cuestionarios de seguimiento (cortos, 1 minute quiz)"
15974,5,"Examen individual teórico parcial del bloque I: Ingeniería de requisitos /Individual theoretical mid-term exam block I: Requirements engineering"
15974,6,"1a Entrega del proyecto final en grupo (y presentación) /1st final project delivery (and presentation)"
15974,10,"Examen individual teórico parcial del bloque II: Modelado conceptual /Individual theoretical mid-term exam block II: Conceptual modelling"
15974,13,"2a Entrega del proyecto final en grupo (y presentación) /2nd final project delivery (and presentation)"
15974,13,"Examen individual teórico parcial del bloque III: Modelado arquitectónico /Individual theoretical mid-term exam block III: Architectural modelling"
15974,14,"Entrega de dos ejercicios individuales prácticos /Delivery of the individual practical exercises"
15976,6,Evaluación de un problema / Evaluation of a problem
15976,7,Evaluación de un test / Evaluation of a test
15976,8,Entrega primera práctica / First lab assignment
15976,13,Evaluación de un problema / Evaluation of a problem
15976,14,Evaluación de un test / Evaluation of a test
15976,15,Entrega segunda práctica / Second lab assignment
17881,*,"Dependiendo del ritmo del curso, se realizarán un total de 9 cuestionarios de 1-minuto para evaluar y obtener realimentación de losdiferentes temas:Semana 2, 3, 4, 6, 7, 8, 10, 11 y 12Nota: Dado que el curso de 1.5 créditos ECTS se configura en 7 sesiones, estos cuestionarios estarán distribuidos en las mismas. Noobstante, se identifica el número de semana de forma absoluta en el cuatrimestre.Depending on the pace of the course, 9 different 1-minute quizzes will be done to assess and get feedback of the different topics:Week 2, 3, 4, 6, 7, 8, 10, 11 y 12Remark: given the fact the course is a 1.5 ECTS course scheduled in 7 sessions, these quizzes will be distributed in the different session.However, the absolute number of the week within the semester is used to indicate the tentative week."
17881,13,"Entrega de caso final práctico (incluyendo presentación y/o video de demo)Nota: considere el número absoluto de semana en el cuatrimestre.Final project delivery (including presentation and/or video)Remark: consider the absolute number of the week within the semester."
18179,3,"TEST 1. Aspectos éticos y legales en la profesión de Ingeniería del SoftwareTEST 1. Legal and ethical issues in the profession of Software Engineering"
18179,3,"Ejercicio Guiado 1. Aspectos Éticos y Legales de la profesión de Ingeniería del Software.Guided Exercise 1. Legal and ethical issues in the profession of Software Engineering"
18179,5,"TEST 2. Prácticas genéricas del desarrollo ágil.TEST 2. Agile Software Development Techniques."
18179,7,"TEST 3. Desarrollo Dirigido por Pruebas, Clases de Equivalencia y Valores LímiteTEST 3. Test Driven Development, Equivalence Classes and Boundary Values"
18179,9,"Ejercicio Guiado 2. Propiedad Colectiva de código y estándar de codificación. Desarrollo dirigido por pruebas y técnicas de prueba.Guided Exercise 2. Collective code ownership & Coding Standards. Test Driven Development & testing techniques."
18179,11,"TEST 4. Análisis sintáctico y pruebas estructuralesTEST 4. Syntax Analysis and structural testing"
19472,4,"Entrega primer ejercicio de programación de sistemas ubicuosSubmission of the first exercise of ubiquitous systems programming"
19472,8,"Entrega segundo ejercicio de programación de sistemas ubicuosSubmission of the second exercise of ubiquitous systems programming"
19472,6,"Entrega P1 (Ideación y diseño)Submission of P1 (Ideation and design)"
19472,11,"Entrega P2 (Prototipado)Submission of P2 (Prototyping)"
19472,14,"Entrega P3 (Evaluación) y defensa del proyectoSubmission of P3 (Evaluation) and defense of the project"
19476,2,Cuaderno de Ejercicios 1 / Workbook 1 Delivery
19476,8,Cuaderno de Ejercicios 2 / Workbook 2 Delivery
19476,14,Cuaderno de Ejercicios 3 / Workbook 3 Delivery
